1 type
45.0172 -102.214 581.8
46 -102.404 596.172
46.001 -102.407 596.187
46.0018 -102.387 596.198
46.0026 -102.401 596.21
46.0034 -102.399 596.221
46.0095 -102.398 596.311
46.0104 -102.412 596.323
47 -102.64 610.795
47.0009 -102.596 610.808
47.0017 -102.619 610.819
47.0025 -102.62 610.831
47.0049 -102.597 610.866
47.0056 -102.612 610.876
47.007 -102.593 610.898
48 -102.787 625.419
48.0009 -102.801 625.432
48.0022 -102.804 625.451
48.0041 -102.816 625.479
48.0065 -102.815 625.515
48.012 -102.82 625.595
48.0164 -102.799 625.659
49 -103.046 640.042
49.0009 -103.029 640.056
49.0018 -103.017 640.068
49.0026 -103 640.081
49.0038 -103.029 640.098
49.009 -103.004 640.174
49.0101 -103.042 640.19
50 -103.212 654.666
50.001 -103.214 654.681
50.0017 -103.219 654.691
50.0034 -103.238 654.716
50.0067 -103.217 654.764
50.0088 -103.201 654.795
50.0132 -103.24 654.859
51 -103.416 669.29
51.0009 -103.424 669.302
51.0015 -103.382 669.312
51.0037 -103.404 669.343
51.0064 -103.423 669.383
51.0084 -103.452 669.412
51.013 -103.384 669.48
52 -103.592 683.913
52.001 -103.606 683.928
52.0021 -103.609 683.944
52.0035 -103.615 683.964
52.0058 -103.595 683.999
52.01 -103.589 684.06
52.0172 -103.583 684.164
53 -103.769 698.537
53.0007 -103.803 698.547
53.002 -103.799 698.567
53.0034 -103.787 698.587
53.0046 -103.766 698.604
53.0076 -103.794 698.647
53.0116 -103.788 698.706
54 -103.945 713.161
54.0008 -103.947 713.172
54.0015 -103.983 713.182
54.0036 -103.951 713.214
54.0055 -103.939 713.241
54.0065 -103.965 713.256
54.0126 -103.938 713.345
55 -104.154 727.784
55.001 -104.111 727.799
55.0024 -104.143 727.82
55.0034 -104.106 727.835
55.0052 -104.115 727.86
55.0087 -104.139 727.912
55.0095 -104.139 727.923
56 -104.289 742.408
56.0008 -104.3 742.42
56.0016 -104.306 742.431
56.0034 -104.322 742.458
56.0059 -104.301 742.495
56.0085 -104.306 742.532
56.0148 -104.331 742.624
57 -104.469 757.032
57.0007 -104.489 757.042
57.002 -104.48 757.061
57.004 -104.484 757.09
57.0063 -104.451 757.123
57.01 -104.485 757.178
57.0138 -104.468 757.233
58 -104.644 771.655
58.0007 -104.641 771.665
58.0017 -104.64 771.68
58.0033 -104.65 771.703
58.0043 -104.646 771.718
58.0087 -104.632 771.782
58.0134 -104.652 771.851
59 -104.788 786.279
59.0011 -104.809 786.294
59.0023 -104.82 786.312
59.0035 -104.816 786.331
59.0062 -104.796 786.37
59.0107 -104.831 786.436
59.0128 -104.834 786.466
60 -104.95 800.903
60.0007 -104.937 800.913
60.002 -104.985 800.932
60.0033 -104.952 800.951
60.0064 -104.946 800.997
60.0113 -104.962 801.068
60.0148 -104.946 801.118
61 -105.097 815.526
61.0008 -105.132 815.538
61.0019 -105.158 815.554
61.0036 -105.125 815.579
61.0073 -105.126 815.634
61.0088 -105.131 815.654
61.0108 -105.124 815.684
62 -105.26 830.15
62.0008 -105.289 830.161
62.0015 -105.281 830.171
62.003 -105.28 830.193
62.0043 -105.283 830.213
62.0108 -105.281 830.308
62.0156 -105.274 830.378
63 -105.434 844.774
63.001 -105.398 844.787
63.0024 -105.428 844.808
63.0046 -105.442 844.841
63.0071 -105.433 844.877
63.011 -105.418 844.935
63.0163 -105.422 845.012
64 -105.585 859.397
64.0007 -105.567 859.407
64.0022 -105.596 859.429
64.0033 -105.582 859.445
64.0071 -105.627 859.502
64.0088 -105.578 859.526
64.0134 -105.596 859.594
65 -105.71 874.021
65.0011 -105.728 874.037
65.0025 -105.714 874.058
65.0038 -105.736 874.076
65.0048 -105.716 874.091
65.0099 -105.723 874.165
65.0128 -105.735 874.208
66 -105.865 888.645
66.0009 -105.878 888.657
66.0022 -105.858 888.677
66.0035 -105.87 888.695
66.0073 -105.88 888.751
66.0121 -105.874 888.821
66.0163 -105.881 888.883
67 -105.992 903.268
67.0009 -105.988 903.282
67.0017 -106.009 903.293
67.0039 -105.993 903.325
67.0069 -106.026 903.369
67.0104 -106.037 903.421
67.0131 -106.035 903.459
68 -106.17 917.892
68.0007 -106.139 917.902
68.0015 -106.137 917.913
68.0033 -106.172 917.94
68.0064 -106.14 917.986
68.0072 -106.14 917.997
68.0107 -106.146 918.048
69 -106.276 932.516
69.001 -106.302 932.53
69.0023 -106.294 932.549
69.0044 -106.301 932.58
69.0076 -106.283 932.627
69.0095 -106.262 932.654
69.0153 -106.305 932.74
70 -106.423 947.139
70.0007 -106.441 947.149
70.0017 -106.427 947.164
70.0029 -106.418 947.181
70.0055 -106.417 947.22
70.008 -106.399 947.256
70.0105 -106.392 947.293
71 -106.531 961.763
71.0007 -106.536 961.774
71.0018 -106.58 961.789
71.003 -106.544 961.806
71.006 -106.565 961.85
71.0071 -106.524 961.867
71.0084 -106.564 961.886
72 -106.703 976.387
72.0007 -106.697 976.397
72.0015 -106.721 976.408
72.0027 -106.71 976.426
72.0061 -106.659 976.476
72.0086 -106.681 976.512
72.0123 -106.712 976.566
73 -106.828 991.01
73.0007 -106.815 991.021
73.0022 -106.826 991.042
73.0042 -106.81 991.072
73.0073 -106.842 991.117
73.013 -106.834 991.2
73.0194 -106.815 991.294
74 -106.937 1005.63
74.0009 -106.971 1005.65
74.0024 -106.945 1005.67
74.0037 -106.934 1005.69
74.0075 -106.946 1005.74
74.0134 -106.945 1005.83
74.016 -106.945 1005.87
75 -107.055 1020.26
75.0008 -107.08 1020.27
75.0021 -107.057 1020.29
75.0043 -107.077 1020.32
75.0052 -107.081 1020.33
75.0064 -107.073 1020.35
75.0093 -107.081 1020.39
76 -107.204 1034.88
76.001 -107.19 1034.9
76.002 -107.195 1034.91
76.0039 -107.179 1034.94
76.0066 -107.19 1034.98
76.0118 -107.189 1035.05
76.0169 -107.164 1035.13
77 -107.298 1049.5
77.0009 -107.287 1049.52
77.0021 -107.329 1049.54
77.003 -107.297 1049.55
77.0056 -107.295 1049.59
77.0082 -107.326 1049.62
77.0119 -107.34 1049.68
78 -107.457 1064.13
78.0009 -107.453 1064.14
78.0023 -107.451 1064.16
78.0038 -107.46 1064.18
78.005 -107.44 1064.2
78.0065 -107.415 1064.22
78.0129 -107.469 1064.32
79 -107.524 1078.75
79.0009 -107.577 1078.77
79.0021 -107.577 1078.78
79.004 -107.541 1078.81
79.0075 -107.545 1078.86
79.0096 -107.587 1078.89
79.015 -107.562 1078.97
80 -107.689 1093.38
80.0009 -107.644 1093.39
80.0022 -107.7 1093.41
80.0042 -107.686 1093.44
80.0074 -107.697 1093.48
80.0128 -107.68 1093.56
80.0189 -107.654 1093.65
81 -107.781 1108
81.0008 -107.811 1108.01
81.0014 -107.758 1108.02
81.003 -107.795 1108.04
81.0047 -107.771 1108.07
81.0114 -107.763 1108.17
81.0147 -107.777 1108.21
82 -107.901 1122.62
82.0007 -107.892 1122.63
82.0018 -107.925 1122.65
82.0026 -107.904 1122.66
82.0065 -107.902 1122.72
82.0135 -107.902 1122.82
82.0162 -107.901 1122.86
83 -108.034 1137.25
83.001 -108.012 1137.26
83.0023 -108.013 1137.28
83.0039 -107.991 1137.3
83.0074 -108.022 1137.36
83.0095 -108.049 1137.39
83.0155 -108.015 1137.47
84 -108.13 1151.87
84.001 -108.125 1151.89
84.0019 -108.133 1151.9
84.0028 -108.119 1151.91
84.0064 -108.132 1151.96
84.0111 -108.122 1152.03
84.0145 -108.137 1152.08
85 -108.218 1166.49
85.0011 -108.234 1166.51
85.0019 -108.261 1166.52
85.0034 -108.238 1166.54
85.0072 -108.233 1166.6
85.0131 -108.225 1166.69
85.0183 -108.277 1166.76
86 -108.307 1181.12
86.0009 -108.314 1181.13
86.002 -108.351 1181.15
86.0043 -108.355 1181.18
86.0051 -108.34 1181.19
86.0086 -108.34 1181.24
86.0096 -108.349 1181.26
87 -108.448 1195.74
87.0008 -108.473 1195.75
87.0022 -108.427 1195.77
87.0034 -108.427 1195.79
87.0044 -108.442 1195.81
87.0062 -108.426 1195.83
87.0101 -108.424 1195.89
88 -108.533 1210.37
88.001 -108.578 1210.38
88.0025 -108.539 1210.4
88.0037 -108.553 1210.42
88.0058 -108.584 1210.45
88.0106 -108.577 1210.52
88.0153 -108.56 1210.59
89 -108.652 1224.99
89.001 -108.671 1225
89.0017 -108.669 1225.01
89.0035 -108.636 1225.04
89.0058 -108.657 1225.07
89.0091 -108.654 1225.12
89.0137 -108.657 1225.19
90 -108.748 1239.61
90.001 -108.76 1239.63
90.0019 -108.781 1239.64
90.0031 -108.758 1239.66
90.0046 -108.757 1239.68
90.0089 -108.763 1239.74
90.0151 -108.777 1239.83
91 -108.885 1254.24
91.0008 -108.869 1254.25
91.002 -108.844 1254.27
91.0029 -108.867 1254.28
91.0041 -108.843 1254.3
91.0113 -108.867 1254.4
91.0183 -108.878 1254.5
92 -108.962 1268.86
92.0008 -108.966 1268.87
92.0017 -108.95 1268.88
92.0034 -108.951 1268.91
92.0052 -108.975 1268.94
92.0094 -108.963 1269
92.0138 -109.01 1269.06
93 -109.056 1283.48
